date,department,semester,exam,code,coarse_name
04-Apr-20,CSE,S7,A,CS401,COMPUTER GRAPHICS
20-Apr-20,CSE,S7,C,CS405,COMPUTER SYSTEM ARCHITECTURE
22-Apr-20,CSE,S7,D,CS407,DISTRIBUTED COMPUTING
24-Apr-20,CSE,S7,E,CS409,CRYPTOGRAPHY AND NETWORK SECURITY
27-Apr-20,CSE,S7,F,CS467,MACHINE LEARNING
29-Apr-20,CSE,S7,B,CS403,PROGRAMMING PARADIGMS
11-May-20,CSE,S6,A,CS302,DESIGN AND ANALYSIS OF ALGORITHMS
12-May-20,CSE,S8,A,CS402,DATA MINING AND WARE HOUSING
13-May-20,CSE,S6,B,CS304,COMPILER DESIGN
14-May-20,CSE,S8,B,CS404,EMBEDDED SYSTEMS
15-May-20,CSE,S6,C,CS306,COMPUTER NETWORKS
18-May-20,CSE,S8,C,CS472,PRINCIPLES OF INFORMATION SECURITY
19-May-20,CSE,S4,A,MA202,"PROBABILITY DISTRIBUTIONS, TRANSFORMS AND NUMERICAL METHODS"
20-May-20,Common,S1,A,MA101,CALCULUS
21-May-20,CSE,S8,D,EC482,BIOMEDICAL ENGINEERING
22-May-20,CSE,S6,D,CS308,SOFTWARE ENGINEERING AND PROJECT MANAGEMENT
25-May-20,CSE,S4,B,CS202,COMPUTER ORGANIZATION AND ARCHITECTURE
26-May-20,Common,S2,B,PH100,ENGINEERING PHYSICS
27-May-20,CSE,S6,E,HS300,PRINCIPLES OF MANAGEMENT
28-May-20,CSE,S4,C,CS204,OPERATING SYSTEMS
29-May-20,Common,S1,B,CY100,ENGINEERING CHEMISTRY
01-Jun-20,CSE,S6,F,CS368,WEB TECHNOLOGIES
02-Jun-20,CSE,S4,D,CS206,OBJECT ORIENTED DESIGN AND PROGRAMMING
03-Jun-20,Common,S2,C,BE100,ENGINEERING MECHANICS
04-Jun-20,CSE,S4,E,CS208,PRINCIPLES OF DATABASE DESIGN
05-Jun-20,CSE,S6,U,CS352,COMPREHENSIVE EXAM
08-Jun-20,CSE,S4,F,HS210,LIFE SKILLS
09-Jun-20,Common,S1,D,BE101-05,INTRODUCTION TO COMPUTING AND PROBLEM SOLVING
10-Jun-20,Common,S1,E,BE103,INTRODUCTION TO SUSTAINABLE ENGINEERING
15-Jun-20,Common,S1,F,ME100,BASICS OF MECHANICAL ENGINEERING
16-Jun-20,Common,S2,F2,EC100,BASICS OF ELECTRONICS ENGINEERING
17-Jun-20,Common,S2,A,MA102,DIFFERENTIAL EQUATIONS
18-Jun-20,Common,S2,D,BE102,DESIGN & ENGINEERING
19-Jun-20,Common,S2,E3,CS100,COMPUTER PROGRAMMING
08-Jun-20,Common,S1,C,BE110,ENGINEERING GRAPHICS
28-May-20,CSE,S3,F,HS200,Business Economics
17-May-20,CSE,S3,A,MA201,Linear Algebra & Complex Analysis
06-May-20,CSE,S3,B,CS201,Discrete Computational Structures
25-Apr-20,CSE,S3,C,CS203,Switching Theory and Logic Design
14-Apr-20,CSE,S3,D,CS205,Data Structures
03-Apr-20,CSE,S3,E,CS207,Electronics Devices & Circuits
23-Mar-20,CSE,S5,E,CS309,GRAPH THEORY AND COMBINATORICS
12-Mar-20,CSE,S5,A,CS301,THEORY OF COMPUTATION
01-Mar-20,CSE,S5,B,CS303,SYSTEM SOFTWARE
19-Feb-20,CSE,S5,C,CS305,MICROPROCESSORS AND MICROCONTROLLERS
08-Feb-20,CSE,S5,D,CS307,DATA COMMUNICATION
28-Jan-20,CSE,S5,F,CS361,SOFT COMPUTING
